"Work_Year","Field","Job_Title","Experience_Level","Work_Time_Arrangement","Work_Office_Arrangement","Company_Size","Continent","Country","Company_Location_Code3","Salary_USD"
2024,"Machine Learning","Machine Learning Engineer","Mid","Full-time","In-Person","M","Americas","United States","USA",200200
2024,"Machine Learning","Machine Learning Engineer","Mid","Full-time","In-Person","M","Americas","United States","USA",186915
2024,"Software Development   (general)","Software Engineer","Mid","Full-time","In-Person","M","Americas","United States","USA",240240
2024,"Software Development   (general)","Software Engineer","Mid","Full-time","In-Person","M","Americas","United States","USA",221596
2024,"Machine Learning","Machine Learning Engineer","Senior","Full-time","In-Person","M","Americas","United States","USA",240240
2024,"Machine Learning","Machine Learning Engineer","Senior","Full-time","In-Person","M","Americas","United States","USA",205364
2024,"Software Development   (general)","Software Engineer","Mid","Full-time","In-Person","M","Americas","United States","USA",240240
2024,"Software Development   (general)","Software Engineer","Mid","Full-time","In-Person","M","Americas","United States","USA",214032
2024,"Software Development   (general)","Software Engineer","Senior","Full-time","In-Person","M","Americas","United States","USA",342000
2024,"Software Development   (general)","Software Engineer","Senior","Full-time","In-Person","M","Americas","United States","USA",264000
2024,"Software Development   (general)","Software Engineer","Mid","Full-time","In-Person","M","Americas","United States","USA",264200
2024,"Software Development   (general)","Software Engineer","Mid","Full-time","In-Person","M","Americas","United States","USA",143100
2024,"Machine Learning","Machine Learning Scientist","Senior","Full-time","In-Person","M","Americas","United States","USA",264200
2024,"Machine Learning","Machine Learning Scientist","Senior","Full-time","In-Person","M","Americas","United States","USA",143100
2024,"Data Science","Research Scientist","Senior","Full-time","In-Person","M","Americas","United States","USA",239000
2024,"Data Science","Research Scientist","Senior","Full-time","In-Person","M","Americas","United States","USA",161000
2024,"Data Engineering","Data Engineer","Senior","Full-time","Remote","M","Americas","United States","USA",196900
2024,"Data Engineering","Data Engineer","Senior","Full-time","Remote","M","Americas","United States","USA",180835
2024,"Data Engineering","Data Engineer","Mid","Full-time","In-Person","M","Americas","United States","USA",194600
2024,"Data Engineering","Data Engineer","Mid","Full-time","In-Person","M","Americas","United States","USA",116200
2024,"Data Engineering","Data Engineer","Executive","Full-time","Remote","M","Americas","United States","USA",239662
2024,"Data Engineering","Data Engineer","Executive","Full-time","Remote","M","Americas","United States","USA",143858
2024,"Data Engineering","Data Engineer","Mid","Full-time","In-Person","M","Americas","United States","USA",208800
2024,"Data Engineering","Data Engineer","Mid","Full-time","In-Person","M","Americas","United States","USA",98300
2024,"Data Engineering","Data Engineer","Mid","Full-time","In-Person","M","Europe","United Kingdom","GBR",68750
2024,"Data Engineering","Data Engineer","Mid","Full-time","In-Person","M","Europe","United Kingdom","GBR",56250
2024,"Data Engineering","Data Engineer","Senior","Full-time","In-Person","M","Europe","United Kingdom","GBR",75000
2024,"Data Engineering","Data Engineer","Senior","Full-time","In-Person","M","Europe","United Kingdom","GBR",62500
2024,"Data Engineering","Data Engineer","Senior","Full-time","In-Person","M","Americas","United States","USA",296300
2024,"Data Engineering","Data Engineer","Senior","Full-time","In-Person","M","Americas","United States","USA",166600
2024,"Data Science","Research Scientist","Mid","Full-time","In-Person","M","Americas","United States","USA",173000
2024,"Data Science","Research Scientist","Mid","Full-time","In-Person","M","Americas","United States","USA",117000
2024,"Data Analysis","Data Analyst","Mid","Full-time","In-Person","M","Americas","United States","USA",205700
2024,"Data Analysis","Data Analyst","Mid","Full-time","In-Person","M","Americas","United States","USA",197412
2024,"Data Analysis","Data Analyst","Mid","Full-time","In-Person","M","Americas","United States","USA",100000
2024,"Data Analysis","Data Analyst","Mid","Full-time","In-Person","M","Americas","United States","USA",85000
2024,"Data Analysis","Data Analyst","Entry","Full-time","In-Person","M","Americas","United States","USA",116425
2024,"Data Analysis","Data Analyst","Entry","Full-time","In-Person","M","Americas","United States","USA",74500
2024,"Data Analysis","Data Analyst","Entry","Full-time","In-Person","M","Americas","United States","USA",78000
2024,"Data Analysis","Data Analyst","Entry","Full-time","In-Person","M","Americas","United States","USA",64000
2024,"Research & Development   (general)","Computational Biologist","Senior","Full-time","In-Person","M","Americas","United States","USA",174800
2024,"Research & Development   (general)","Computational Biologist","Senior","Full-time","In-Person","M","Americas","United States","USA",109300
2024,"Data Science","Data Scientist","Senior","Full-time","In-Person","M","Americas","United States","USA",314000
2024,"Data Science","Data Scientist","Senior","Full-time","In-Person","M","Americas","United States","USA",221000
2024,"Data Science","Data Scientist","Senior","Full-time","In-Person","M","Americas","United States","USA",266000
2024,"Data Science","Data Scientist","Senior","Full-time","In-Person","M","Americas","United States","USA",177000
2024,"Data Science","Data Scientist","Entry","Full-time","In-Person","M","Americas","United States","USA",174600
2024,"Data Science","Data Scientist","Entry","Full-time","In-Person","M","Americas","United States","USA",81900
2024,"Data Science","Data Scientist","Mid","Full-time","In-Person","M","Americas","United States","USA",127950
2024,"Data Science","Data Scientist","Mid","Full-time","In-Person","M","Americas","United States","USA",81900
2024,"Data Science","Data Scientist","Mid","Full-time","In-Person","M","Americas","United States","USA",127950
2024,"Data Science","Data Scientist","Mid","Full-time","In-Person","M","Americas","United States","USA",81900
2024,"Data Science","Data Scientist","Mid","Full-time","In-Person","M","Americas","United States","USA",127950
2024,"Data Science","Data Scientist","Mid","Full-time","In-Person","M","Americas","United States","USA",81900
2024,"Data Science","Data Scientist","Senior","Full-time","In-Person","M","Americas","United States","USA",312200
2024,"Data Science","Data Scientist","Senior","Full-time","In-Person","M","Americas","United States","USA",175800
2024,"Software Development   (general)","Prompt Engineer","Senior","Full-time","Remote","M","Americas","United States","USA",135000
2024,"Software Development   (general)","Prompt Engineer","Senior","Full-time","Remote","M","Americas","United States","USA",120000
2024,"Artificial Intelligence   (general)","AI Researcher","Senior","Full-time","In-Person","M","Americas","United States","USA",158500
2024,"Artificial Intelligence   (general)","AI Researcher","Senior","Full-time","In-Person","M","Americas","United States","USA",129700
2024,"Data Engineering","Data Product Owner","Mid","Full-time","Remote","M","Americas","United States","USA",156000
2024,"Data Engineering","Data Product Owner","Mid","Full-time","Remote","M","Americas","United States","USA",97000
2024,"Software Development   (general)","Software Engineer","Senior","Full-time","In-Person","M","Americas","Canada","CAN",131990
2024,"Software Development   (general)","Software Engineer","Senior","Full-time","In-Person","M","Americas","Canada","CAN",87930
2024,"Software Development   (general)","Software Engineer","Senior","Full-time","In-Person","M","Americas","Canada","CAN",199700
2024,"Software Development   (general)","Software Engineer","Senior","Full-time","In-Person","M","Americas","Canada","CAN",108100
2024,"Data Science","Research Engineer","Senior","Full-time","In-Person","M","Americas","United States","USA",138000
2024,"Data Science","Research Engineer","Senior","Full-time","In-Person","M","Americas","United States","USA",86000
2024,"Software Development   (general)","Software Engineer","Mid","Full-time","In-Person","M","Americas","United States","USA",240240
2024,"Software Development   (general)","Software Engineer","Mid","Full-time","In-Person","M","Americas","United States","USA",214032
2024,"Software Development   (general)","DevOps Engineer","Senior","Full-time","In-Person","M","Americas","United States","USA",223500
2024,"Software Development   (general)","DevOps Engineer","Senior","Full-time","In-Person","M","Americas","United States","USA",94200
2024,"Software Development   (general)","Software Engineer","Mid","Full-time","In-Person","M","Americas","United States","USA",158400
2024,"Software Development   (general)","Software Engineer","Mid","Full-time","In-Person","M","Americas","United States","USA",137611
2024,"Software Development   (general)","Software Engineer","Mid","Full-time","Remote","M","Americas","United States","USA",290180
2024,"Software Development   (general)","Software Engineer","Mid","Full-time","Remote","M","Americas","United States","USA",268484
2024,"Data Engineering","Analytics Engineer","Senior","Full-time","In-Person","M","Americas","United States","USA",312800
2024,"Data Engineering","Analytics Engineer","Senior","Full-time","In-Person","M","Americas","United States","USA",167500
2024,"Data Science","Applied Scientist","Senior","Full-time","In-Person","M","Americas","United States","USA",355000
2024,"Data Science","Applied Scientist","Senior","Full-time","In-Person","M","Americas","United States","USA",194000
2024,"Data Science","Applied Scientist","Senior","Full-time","In-Person","M","Americas","United States","USA",337250
2024,"Data Science","Applied Scientist","Senior","Full-time","In-Person","M","Americas","United States","USA",184300
2024,"Data Science","Applied Scientist","Senior","Full-time","In-Person","M","Americas","United States","USA",240000
2024,"Data Science","Applied Scientist","Senior","Full-time","In-Person","M","Americas","United States","USA",114000
2024,"Data Science","Applied Scientist","Senior","Full-time","In-Person","M","Americas","United States","USA",359000
2024,"Data Science","Applied Scientist","Senior","Full-time","In-Person","M","Americas","United States","USA",136000
2024,"Software Development   (general)","Frontend Engineer","Senior","Full-time","In-Person","M","Americas","United States","USA",258750
2024,"Software Development   (general)","Frontend Engineer","Senior","Full-time","In-Person","M","Americas","United States","USA",132000
2024,"Software Development   (general)","Backend Engineer","Senior","Full-time","In-Person","M","Americas","United States","USA",276000
2024,"Software Development   (general)","Backend Engineer","Senior","Full-time","In-Person","M","Americas","United States","USA",148000
2024,"Software Development   (general)","Software Engineer","Senior","Full-time","In-Person","M","Americas","United States","USA",194750
2024,"Software Development   (general)","Software Engineer","Senior","Full-time","In-Person","M","Americas","United States","USA",129960
2024,"Software Development   (general)","Software Engineer","Senior","Full-time","In-Person","M","Americas","United States","USA",280000
2024,"Software Development   (general)","Software Engineer","Senior","Full-time","In-Person","M","Americas","United States","USA",136800
2024,"Software Development   (general)","Software Engineer","Mid","Full-time","In-Person","M","Americas","Canada","CAN",205000
2024,"Software Development   (general)","Software Engineer","Mid","Full-time","In-Person","M","Americas","Canada","CAN",136800
2024,"Software Development   (general)","Software Engineer","Senior","Full-time","In-Person","M","Americas","United States","USA",690000
2024,"Software Development   (general)","Software Engineer","Senior","Full-time","In-Person","M","Americas","United States","USA",410000
2024,"Software Development   (general)","Software Engineer","Senior","Full-time","In-Person","M","Americas","United States","USA",690000
2024,"Software Development   (general)","Software Engineer","Senior","Full-time","In-Person","M","Americas","United States","USA",410000
2024,"Data Engineering","Data Engineer","Mid","Full-time","In-Person","M","Americas","United States","USA",205000
2024,"Data Engineering","Data Engineer","Mid","Full-time","In-Person","M","Americas","United States","USA",136800
2024,"Data Engineering","Data Engineer","Mid","Full-time","In-Person","M","Americas","United States","USA",237500
2024,"Data Engineering","Data Engineer","Mid","Full-time","In-Person","M","Americas","United States","USA",137750
2024,"Data Engineering","Data Engineer","Senior","Full-time","In-Person","M","Americas","United States","USA",205000
2024,"Data Engineering","Data Engineer","Senior","Full-time","In-Person","M","Americas","United States","USA",136800
2024,"Data Engineering","Data Engineer","Senior","Full-time","In-Person","M","Americas","United States","USA",205000
2024,"Data Engineering","Data Engineer","Senior","Full-time","In-Person","M","Americas","United States","USA",136800
2024,"Software Development   (general)","Software Engineer","Senior","Full-time","In-Person","M","Americas","United States","USA",337250
2024,"Software Development   (general)","Software Engineer","Senior","Full-time","In-Person","M","Americas","United States","USA",184300
2024,"Machine Learning","Machine Learning Engineer","Mid","Full-time","In-Person","M","Americas","United States","USA",250000
2024,"Machine Learning","Machine Learning Engineer","Mid","Full-time","In-Person","M","Americas","United States","USA",145000
2024,"Data Science","Research Scientist","Mid","Full-time","In-Person","M","Americas","United States","USA",410000
2024,"Data Science","Research Scientist","Mid","Full-time","In-Person","M","Americas","United States","USA",194000
2024,"Data Science","Research Engineer","Senior","Full-time","In-Person","M","Americas","United States","USA",410000
2024,"Data Science","Research Engineer","Senior","Full-time","In-Person","M","Americas","United States","USA",355000
2024,"Machine Learning","Machine Learning Engineer","Senior","Full-time","In-Person","M","Americas","United States","USA",355000
2024,"Machine Learning","Machine Learning Engineer","Senior","Full-time","In-Person","M","Americas","United States","USA",194000
2024,"Machine Learning","Machine Learning Engineer","Senior","Full-time","In-Person","M","Americas","United States","USA",355000
2024,"Machine Learning","Machine Learning Engineer","Senior","Full-time","In-Person","M","Americas","United States","USA",145000
2024,"Machine Learning","Machine Learning Engineer","Senior","Full-time","In-Person","M","Americas","United States","USA",337250
2024,"Machine Learning","Machine Learning Engineer","Senior","Full-time","In-Person","M","Americas","United States","USA",137750
2024,"Machine Learning","Machine Learning Engineer","Senior","Full-time","In-Person","M","Americas","United States","USA",355000
2024,"Machine Learning","Machine Learning Engineer","Senior","Full-time","In-Person","M","Americas","United States","USA",145000
2024,"Machine Learning","Machine Learning Engineer","Senior","Full-time","In-Person","M","Americas","United States","USA",237500
2024,"Machine Learning","Machine Learning Engineer","Senior","Full-time","In-Person","M","Americas","United States","USA",137750
2024,"Machine Learning","Machine Learning Engineer","Senior","Full-time","In-Person","M","Americas","United States","USA",355000
2024,"Machine Learning","Machine Learning Engineer","Senior","Full-time","In-Person","M","Americas","United States","USA",145000
2024,"Data Science","Research Scientist","Entry","Full-time","In-Person","M","Americas","United States","USA",337250
